period,location_a,location_b,co_mentions
post_election_upto_forming_government,Munshiganj,মুন্সিগঞ্জ,1
post_election_upto_forming_government,Mymensingh,Pabna,1
post_election_upto_forming_government,Mymensingh,Sirajganj,1
post_election_upto_forming_government,Mymensingh,Tangail,1
post_election_upto_forming_government,Mymensingh,জামালপুর,1
post_election_upto_forming_government,Mymensingh,শেরপুর,1
post_election_upto_forming_government,Naogaon,Rajbari,1
post_election_upto_forming_government,Narayanganj,Pirojpur,1
post_election_upto_forming_government,Narayanganj,Sherpur,1
post_election_upto_forming_government,Narayanganj,Sunamganj,1
post_election_upto_forming_government,Narayanganj,চাঁদপুর,1
post_election_upto_forming_government,Narsingdi,Tangail,1
post_election_upto_forming_government,Narsingdi,কিশোরগঞ্জ,1
post_election_upto_forming_government,Natore,নাটোর,1
post_election_upto_forming_government,Netrokona,নেত্রকোনা,1
post_election_upto_forming_government,Nilphamari,কিশোরগঞ্জ,1
post_election_upto_forming_government,Pabna,Rajbari,1
post_election_upto_forming_government,Pabna,Rangpur,1
post_election_upto_forming_government,Pabna,নরসিংদী,1
post_election_upto_forming_government,Panchagarh,Thakurgaon,1
post_election_upto_forming_government,Panchagarh,পঞ্চগড়,1
post_election_upto_forming_government,Patuakhali,Rajshahi,1
post_election_upto_forming_government,Rajbari,রাজবাড়ী,1
post_election_upto_forming_government,Rajshahi,গাইবান্ধা,1
